AlgorithmName,DefaultID,Enabled,EnvironmentVariable,AddEnv
frodo640aes,65024,Yes,OQS_CODEPOINT_FRODO640AES,no
p256_frodo640aes,65025,Yes,OQS_CODEPOINT_P256_FRODO640AES,no
x25519_frodo640aes,65026,Yes,OQS_CODEPOINT_X25519_FRODO640AES,no
frodo640shake,65027,Yes,OQS_CODEPOINT_FRODO640SHAKE,no
p256_frodo640shake,65028,Yes,OQS_CODEPOINT_P256_FRODO640SHAKE,no
x25519_frodo640shake,65029,Yes,OQS_CODEPOINT_X25519_FRODO640SHAKE,no
frodo976aes,65030,Yes,OQS_CODEPOINT_FRODO976AES,no
p384_frodo976aes,65031,Yes,OQS_CODEPOINT_P384_FRODO976AES,no
x448_frodo976aes,65032,Yes,OQS_CODEPOINT_X448_FRODO976AES,no
frodo976shake,65033,Yes,OQS_CODEPOINT_FRODO976SHAKE,no
p384_frodo976shake,65034,Yes,OQS_CODEPOINT_P384_FRODO976SHAKE,no
x448_frodo976shake,65035,Yes,OQS_CODEPOINT_X448_FRODO976SHAKE,no
frodo1344aes,65036,Yes,OQS_CODEPOINT_FRODO1344AES,no
p521_frodo1344aes,65037,Yes,OQS_CODEPOINT_P521_FRODO1344AES,no
frodo1344shake,65038,Yes,OQS_CODEPOINT_FRODO1344SHAKE,no
p521_frodo1344shake,65039,Yes,OQS_CODEPOINT_P521_FRODO1344SHAKE,no
mlkem512,512,Yes,OQS_CODEPOINT_MLKEM512,no
p256_mlkem512,0x2F4B,Yes,OQS_CODEPOINT_P256_MLKEM512,no
x25519_mlkem512,0x2FB6,Yes,OQS_CODEPOINT_X25519_MLKEM512,no
mlkem768,513,Yes,OQS_CODEPOINT_MLKEM768,no
p384_mlkem768,0x2F4C,Yes,OQS_CODEPOINT_P384_MLKEM768,no
x448_mlkem768,0x2FB7,Yes,OQS_CODEPOINT_X448_MLKEM768,no
X25519MLKEM768,0x11ec,Yes,OQS_CODEPOINT_X25519MLKEM768,no
SecP256r1MLKEM768,0x11eb,Yes,OQS_CODEPOINT_SECP256R1MLKEM768,no
mlkem1024,514,Yes,OQS_CODEPOINT_MLKEM1024,no
p521_mlkem1024,0x2F4D,Yes,OQS_CODEPOINT_P521_MLKEM1024,no
SecP384r1MLKEM1024,0x11ED,Yes,OQS_CODEPOINT_SECP384R1MLKEM1024,no
bikel1,65040,Yes,OQS_CODEPOINT_BIKEL1,no
p256_bikel1,65041,Yes,OQS_CODEPOINT_P256_BIKEL1,no
x25519_bikel1,65042,Yes,OQS_CODEPOINT_X25519_BIKEL1,no
bikel3,65043,Yes,OQS_CODEPOINT_BIKEL3,no
p384_bikel3,65044,Yes,OQS_CODEPOINT_P384_BIKEL3,no
x448_bikel3,65045,Yes,OQS_CODEPOINT_X448_BIKEL3,no
bikel5,65046,Yes,OQS_CODEPOINT_BIKEL5,no
p521_bikel5,65047,Yes,OQS_CODEPOINT_P521_BIKEL5,no
mldsa44,0x0904,Yes,OQS_CODEPOINT_MLDSA44,no
p256_mldsa44,0xff06,Yes,OQS_CODEPOINT_P256_MLDSA44,no
rsa3072_mldsa44,0xff07,Yes,OQS_CODEPOINT_RSA3072_MLDSA44,no
mldsa44_pss2048,0x090f,Yes,OQS_CODEPOINT_MLDSA44_pss2048,no
mldsa44_rsa2048,0x090c,Yes,OQS_CODEPOINT_MLDSA44_rsa2048,no
mldsa44_ed25519,0x090a,Yes,OQS_CODEPOINT_MLDSA44_ed25519,no
mldsa44_p256,0x0907,Yes,OQS_CODEPOINT_MLDSA44_p256,no
mldsa44_bp256,0xfee5,Yes,OQS_CODEPOINT_MLDSA44_bp256,no
mldsa65,0x0905,Yes,OQS_CODEPOINT_MLDSA65,no
p384_mldsa65,0xff08,Yes,OQS_CODEPOINT_P384_MLDSA65,no
mldsa65_pss3072,0x0910,Yes,OQS_CODEPOINT_MLDSA65_pss3072,no
mldsa65_rsa3072,0x090d,Yes,OQS_CODEPOINT_MLDSA65_rsa3072,no
mldsa65_p256,0x0908,Yes,OQS_CODEPOINT_MLDSA65_p256,no
mldsa65_bp256,0xfee9,Yes,OQS_CODEPOINT_MLDSA65_bp256,no
